words

2-letter words
పెద్ద (Pedda)
పేద (Peda)
పైరు (Pairu)
పొద (Poda)
పోతు (Pothu)
పాను (Paanu)
ఫౌజు (Fauju)
బడి (Badi)
బాతు (Baatu)
బిడ్డ (Bidda)
బీద (Beeda)
బుర్ర (Burra)
బూజు (Buuju)
బెండ (Benda)
బేలు (Belu)
బైట (Baita)
బొట్టు (Bottu)
బోను (Bonu)
భట్టు (Bhattu)
భార్య (Bharya)
భిక్ష (Bhiksha)
భీతి (Bheethi)
భుక్తి (Bhukthi)
భూమి (Bhuumi)
భృతి (Bhruthi)
భేరి (Bheri)
భోగి (Bhogi)
భౌభౌ (Bhaubhau)
మర్రి (Marri)
మాట (Maata)
మామ (Maama)
మిద్దె (Midde)
మీద (Meeda)
ముక్కు (Mukku)
మూతి (Muuthi)
మృతి (Mruthi)
మెడ (Meda)
మేక (Meka)
మైలు (Mailu)
మొగ్గ (Mogga)
మోటు (Motu)
మౌళి (Mauli)
మంట (Manta)
యతి (Yathi)
యాత్ర (Yaatra)
యుక్తి (Yukthi)
యోగి (Yogi)
రమ (Rama)
రాగి (Raagi)
రిమ్మ (Rimma)
శీలు (Sheelu)
రుచి (Ruchi)
రూక (Ruuka)
రెప్ప (Reppa)
రేకు (Reku)
రెలు (Relu)
రొట్టె (Rotte)
రోలు (Rolu)
రౌతు (Rauthu)
రంగు (Rangu)
లక్క (Lakka)
లావు (Laavu)
లిపి (Lipi)
లీల (Leela)
లుబ్ధు (Lubdhu)
లూటి (Luuti)
లెక్క (Lekka)
లేత (Letha)
లైను (Lainu)
లొట్ట (Lotta)
లోతు (Lothu)
టౌను (Townu)
లంగా (Langa)
వర (Vara)
వారు (Vaaru)
విడి (Vidi)
వీరు (Veeru)
వూట (Vuuta)
వృద్ది (Vruddhi)
వెండి (Vendi)
వేలు (Velu)
వైరి (Vairi)
వంక (Vanka)
శశి (Shashi)
శాల (Shaala)
శీల (Sheela)
శీను (Sheenu)
శుచి (Shuchi)
శూల (Shuula)
శృంగి (Shrungi)
శేష (Shesha)
శైలు (Shailu)
శోభ (Shobha)
శౌరి (Shauri)
శంక (Shanka)
షష్ఠి (Shashthi)
సత్య (Satya)
సాక్షి (Saakshi)
సిగ్గు (Siggu)
సీత (Seeta)
సుర (Sura)
సుడి (Sudi)
సూది (Suudi)
సెగ (Sega)
సేవ (Seva)
సైగ (Saiga)
సొమ్ము (Sommu)
సోది (Sodi)
సంత (Santha)
హస్తి (Hasthi)
హాయి (Haayi)
హంస (Hamsa)
హుండి (Hundi)
హెచ్చు (Hechu)
హేమ (Hema)
హైమ (Haima)
హంస (Hamsa)
క్షయ (Kshaya)
క్షామం (Kshamam)
క్షితి (Kshiti)



make a card for "Telugu Podupu kathalu" have an animation somewhere in the page, like other pages. 

- add these 10 questions (podupu) - answers (vidupu)

Game 1
- when we click on the card we should get the question. when we click on the card again, then the answer should come. 

game 2:
Choose the best answer from three answers

Podupu kathalu list
1) పొడుపు: "కిట కిట తలుపులు, కిటారి తలుపులు, ఎప్పుడు తీసినా చప్పుడు కావు, ఏమిటవి?"
విడుపు: "కనురెప్పలు"

పొడుపు: అమ్మ అంటే కలుస్తాయి, నాన్న అంటే కలవవు. విడుపు: పెదవులు (Lips) (Reason: When you say 'Amma', your lips touch. When you say 'Nanna', they don't.)

పొడుపు: తెల్లని పొలంలో నల్లని విత్తనాలు, చేతితో ఏరుకోవాలి గానీ నోటితో తినలేము. విడుపు: అక్షరాలు / పుస్తకం (Letters / Book) (Reason: White paper is the field, black letters are the seeds.)

పొడుపు: కాళ్ళు లేవు గానీ నడుస్తుంది. విడుపు: గడియారం (Clock) (Reason: It has no legs but it 'runs/walks'.)

పొడుపు: ఆకాశంలో అరటికాయ, కోసుకోవడానికి వీలులేదు. విడుపు: చందమామ (Moon) (Reason: The crescent moon looks like a banana in the sky.)

పొడుపు: ఊరు ఉంది జనం లేరు, ఏరు ఉంది నీరు లేదు. విడుపు: మ్యాపు (Map) (Reason: Maps show towns and rivers but have no people or water.)

పొడుపు: మూడు కళ్ళు ఉంటాయి గానీ శివుడు కాదు, జుట్టు ఉంటుంది గానీ ఆడది కాదు. విడుపు: కొబ్బరికాయ (Coconut) (Reason: It has three 'eyes' and fiber 'hair'.)

పొడుపు: కిటకిట తలుపులు, కిటారి తలుపులు, ఎప్పుడు తెరిచినా చప్పుడు కావు. విడుపు: కనురెప్పలు (Eyelids) (Reason: Eyelids open and close silently like doors.)

పొడుపు: అడవిలో పుట్టింది, అడవిలో పెరిగింది, మా ఇంటికి వచ్చింది, తైతక్కలాడింది. విడుపు: కవ్వం (Churning rod) (Reason: Made of wood (forest), used in the house to churn curd (dance).)

పొడుపు: ఇంటి వెనుక మర్రి చెట్టు, ఎంత మంది ఎక్కినా విరగదు. విడుపు: నీడ (Shadow) (Reason: A shadow lies on the ground and cannot be broken by stepping on it.)

పొడుపు: పొట్టలో వేలు, నెత్తి మీద రాయి. విడుపు: ఉంగరం (Ring) (Reason: The finger goes inside the ring (belly), and the stone sits on top (head).

1)
n telugu-words, https://www.mywayapps.in/telugu-words 
can you have an option for 2-letter word, 3-letter word, 4-letter word, other words

for 2 letter words, please add these words
in other words, put the words already in the list. 
